Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 35 [0.1328125->0.13671875]	310:416	316:424	317:424	537:539	562:616
Bucket 36 [0.13671875->0.140625]	75:82	102:108	310:375	310:424	316:545
Bucket 37 [0.140625->0.14453125]	531:539	581:1518	581:1666	581:3745	582:1557
Bucket 38 [0.14453125->0.1484375]	310:545	556:570	556:573	564:606	581:1557
Bucket 39 [0.1484375->0.15234375]	556:668	562:608	562:630	562:632	581:1431
Bucket 40 [0.15234375->0.15625]	381:386	381:390	381:391	535:537	537:542
Bucket 41 [0.15625->0.16015625]	423:531	581:1310	581:1317	581:1330	582:1317
Bucket 42 [0.16015625->0.1640625]	429:537	531:535	556:594	556:669	582:1290
Bucket 43 [0.1640625->0.16796875]	423:537	531:542	556:568	581:1290	583:1086
Bucket 44 [0.16796875->0.171875]	200:236	200:242	556:572	581:1509	582:1335
Bucket 45 [0.171875->0.17578125]	394:529	429:531	528:537	556:593	560:606
Bucket 46 [0.17578125->0.1796875]	143:198	582:595	583:1287	597:1567	625:716
Bucket 47 [0.1796875->0.18359375]	421:533	562:625	581:595	588:593	601:640
Bucket 48 [0.18359375->0.1875]	383:540	425:533	528:531	582:754	588:594
Bucket 49 [0.1875->0.19140625]	420:533	525:537	581:754	597:1369	597:1533
Bucket 50 [0.19140625->0.1953125]	562:624	597:1271	597:1288	597:1530	597:1543
Bucket 51 [0.1953125->0.19921875]	26:27	383:544	394:521	421:540	536:537
Bucket 52 [0.19921875->0.203125]	283:308	421:537	525:531	527:537	581:745
Bucket 53 [0.203125->0.20703125]	162:198	433:531	562:615	562:711	562:743
Bucket 54 [0.20703125->0.2109375]	209:236	209:242	224:241	433:537	527:531
Bucket 55 [0.2109375->0.21484375]	383:433	383:531	421:531	425:531	562:598
Bucket 56 [0.21484375->0.21875]	562:676	562:677	562:773	562:781	562:786
Bucket 57 [0.21875->0.22265625]	383:536	420:540	425:540	537:544	556:603
Bucket 58 [0.22265625->0.2265625]	327:334	383:537	421:544	425:537	556:589
Bucket 59 [0.2265625->0.23046875]	376:420	386:521	390:521	391:521	420:535
Bucket 60 [0.23046875->0.234375]	284:293	367:403	386:529	390:529	391:529
Bucket 61 [0.234375->0.23828125]	282:293	560:565	572:640	619:643	619:764
Bucket 62 [0.23828125->0.2421875]	562:626	597:1305	597:1562	614:764	619:716
Bucket 63 [0.2421875->0.24609375]	537:540	588:589	614:716	679:775	689:775
Bucket 64 [0.24609375->0.25]	562:619	601:606	619:680	619:695	619:697
Bucket 65 [0.25->0.25390625]	266:308	368:378	420:544	531:540	556:640
Bucket 66 [0.25390625->0.2578125]	233:308	381:541	607:780	611:680	611:695
Bucket 67 [0.2578125->0.26171875]	337:368	420:425	535:540	562:599	562:611
Bucket 68 [0.26171875->0.265625]	562:623	566:640	568:601	594:601	599:716
Bucket 69 [0.265625->0.26953125]	200:209	365:521	556:565	562:622	562:643
Bucket 70 [0.26953125->0.2734375]	328:426	328:427	562:607	562:832	599:643
Bucket 71 [0.2734375->0.27734375]	363:426	363:427	365:381	386:438	390:438
Bucket 72 [0.27734375->0.28125]	376:527	394:438	420:421	533:537	556:606
Bucket 73 [0.28125->0.28515625]	275:308	423:544	560:570	560:573	568:589
Bucket 74 [0.28515625->0.2890625]	556:588	564:589	589:668	607:835	612:773
Bucket 75 [0.2890625->0.29296875]	420:542	522:553	531:533	560:668	566:668
Bucket 76 [0.29296875->0.296875]	333:354	433:535	564:640	611:790	612:839
Bucket 77 [0.296875->0.30078125]	173:195	420:527	566:570	566:573	572:589
Bucket 78 [0.30078125->0.3046875]	383:425	560:603	560:610	564:566	607:643
Bucket 79 [0.3046875->0.30859375]	383:527	420:528	588:603	607:711	607:743
Bucket 80 [0.30859375->0.3125]	365:386	365:390	365:391	376:544	383:421
Bucket 81 [0.3125->0.31640625]	328:350	376:531	421:527	598:781	598:786
Bucket 82 [0.31640625->0.3203125]	143:162	420:539	552:561	564:565	564:668
Bucket 83 [0.3203125->0.32421875]	350:363	429:433	560:568	560:594	560:601
Bucket 84 [0.32421875->0.328125]	365:394	376:433	420:525	564:570	565:668
Bucket 85 [0.328125->0.33203125]	376:537	560:564	562:612	565:640	611:711
Bucket 86 [0.33203125->0.3359375]	376:542	528:544	565:570	565:573	566:669
Bucket 87 [0.3359375->0.33984375]	263:312	409:418	418:428	425:527	525:527
Bucket 88 [0.33984375->0.34375]	432:434	566:594	611:776	611:832	615:839
Bucket 89 [0.34375->0.34765625]	418:439	418:449	418:451	418:456	418:457
Bucket 90 [0.34765625->0.3515625]	365:438	383:528	386:541	418:440	418:441
Bucket 91 [0.3515625->0.35546875]	390:541	391:541	420:536	525:544	608:780
Bucket 92 [0.35546875->0.359375]	331:354	381:438	421:536	423:527	565:568
Bucket 93 [0.359375->0.36328125]	383:429	420:531	436:499	566:572	590:1644
Bucket 94 [0.36328125->0.3671875]	556:566	565:593	590:1592	590:1610	590:1638
Bucket 95 [0.3671875->0.37109375]	343:372	376:525	376:528	383:535	420:537
Bucket 96 [0.37109375->0.375]	383:542	420:423	525:540	560:589	565:572
Bucket 97 [0.375->0.37890625]	353:372	394:541	423:533	528:533	539:544
Bucket 98 [0.37890625->0.3828125]	311:372	343:355	352:372	357:372	383:423
Bucket 99 [0.3828125->0.38671875]	311:355	372:395	372:396	376:533	376:539
Bucket 100 [0.38671875->0.390625]	353:355	372:393	527:542	573:593	599:790
Bucket 101 [0.390625->0.39453125]	355:393	355:395	355:396	438:529	499:532
Bucket 102 [0.39453125->0.3984375]	352:355	355:357	365:529	565:603	565:610
Bucket 103 [0.3984375->0.40234375]	333:335	429:533	435:652	594:668	598:615
Bucket 104 [0.40234375->0.40625]	542:544	598:599	598:742	598:747	598:748
Bucket 105 [0.40625->0.41015625]	335:354	568:668	570:603	573:594	573:603
Bucket 106 [0.41015625->0.4140625]	418:530	525:535	566:603	566:610	570:594
Bucket 107 [0.4140625->0.41796875]	331:333	376:535	425:539	521:541	564:603
Bucket 108 [0.41796875->0.421875]	568:570	599:774	616:711	616:748	619:835
Bucket 109 [0.421875->0.42578125]	423:540	527:536	598:699	602:634	616:776
Bucket 110 [0.42578125->0.4296875]	525:533	599:615	607:699	608:774	614:630
Bucket 111 [0.4296875->0.43359375]	383:539	528:535	599:616	599:624	599:832
Bucket 112 [0.43359375->0.4375]	220:229	425:525	438:521	598:614	598:623
Bucket 113 [0.4375->0.44140625]	581:1234	598:612	599:772	608:676	608:677
Bucket 114 [0.44140625->0.4453125]	421:542	429:540	599:711	599:743	608:742
Bucket 115 [0.4453125->0.44921875]	376:429	599:622	607:612	608:711	608:743
Bucket 116 [0.44921875->0.453125]	318:354	376:423	421:539	602:644	611:625
Bucket 117 [0.453125->0.45703125]	376:540	381:521	429:544	527:539	529:541
Bucket 118 [0.45703125->0.4609375]	425:528	433:527	533:539	540:542	583:1074
Bucket 119 [0.4609375->0.46484375]	433:528	603:669	608:611	610:669	611:631
Bucket 120 [0.46484375->0.46875]	365:541	420:429	423:535	429:535	536:544
Bucket 121 [0.46875->0.47265625]	318:333	429:542	594:603	594:610	613:631
Bucket 122 [0.47265625->0.4765625]	376:421	572:603	572:610	607:625	612:624
Bucket 123 [0.4765625->0.48046875]	581:1362	581:1368	598:619	600:3367	604:633
Bucket 124 [0.48046875->0.484375]	581:1335	583:1342	598:625	611:614	611:627
Bucket 125 [0.484375->0.48828125]	581:1307	581:1315	623:635	623:747	623:748
Bucket 126 [0.48828125->0.4921875]	355:372	433:525	521:529	595:1397	608:624
Bucket 127 [0.4921875->0.49609375]	599:625	607:616	608:630	608:632	608:635
Bucket 128 [0.49609375->0.5]	421:525	421:528	423:433	433:536	568:603
Bucket 129 [0.5->0.50390625]	381:529	535:542	568:610	577:666	599:618
Bucket 130 [0.50390625->0.5078125]	599:623	599:627	616:623	619:776	621:714
Bucket 131 [0.5078125->0.51171875]	607:623	611:637	744:755	1218:1230	1218:1285
Bucket 132 [0.51171875->0.515625]	267:271	429:539	607:627	614:699	630:676
Bucket 133 [0.515625->0.51953125]	386:394	391:394	598:626	613:618	619:625
Bucket 134 [0.51953125->0.5234375]	144:146	236:242	288:313	390:394	428:530
Bucket 135 [0.5234375->0.52734375]	429:525	533:542	539:540	616:626	627:637
Bucket 136 [0.52734375->0.53125]	536:542	613:637	615:619	631:637	884:1020
Bucket 137 [0.53125->0.53515625]	145:149	145:152	288:336	311:393	311:395
Bucket 138 [0.53515625->0.5390625]	376:425	607:615	619:622	636:696	636:755
Bucket 139 [0.5390625->0.54296875]	280:336	286:313	288:325	421:429	433:539
Bucket 140 [0.54296875->0.546875]	280:288	337:378	528:536	611:618	622:625
Bucket 141 [0.546875->0.55078125]	267:269	280:313	311:343	313:336	429:528
Bucket 142 [0.55078125->0.5546875]	204:267	280:325	286:288	311:353	535:539
Bucket 143 [0.5546875->0.55859375]	282:284	286:325	291:309	608:613	624:625
Bucket 144 [0.55859375->0.5625]	266:275	294:309	313:325	325:336	598:607
Bucket 145 [0.5625->0.56640625]	527:533	536:539	598:608	598:631	616:625
Bucket 146 [0.56640625->0.5703125]	281:309	353:395	353:396	627:676	627:677
Bucket 147 [0.5703125->0.57421875]	353:393	613:630	613:632	627:776	646:757
Bucket 148 [0.57421875->0.578125]	311:352	311:357	352:395	352:396	357:395
Bucket 149 [0.578125->0.58203125]	269:271	280:286	343:395	343:396	352:393
Bucket 150 [0.58203125->0.5859375]	290:315	343:393	525:536	607:614	607:635
Bucket 151 [0.5859375->0.58984375]	428:457	608:616	608:637	622:626	623:627
Bucket 152 [0.58984375->0.59375]	204:271	233:275	428:439	428:449	428:451
Bucket 153 [0.59375->0.59765625]	423:429	428:440	428:441	428:443	428:444
Bucket 154 [0.59765625->0.6015625]	204:269	281:294	409:428	428:524	624:637
Bucket 155 [0.6015625->0.60546875]	379:380	615:631	616:631	1244:1279	1382:1534
Bucket 156 [0.60546875->0.609375]	286:336	433:544	595:1434	615:627	696:755
Bucket 157 [0.609375->0.61328125]	564:593	595:1557	595:1614	598:618	709:830
Bucket 158 [0.61328125->0.6171875]	291:294	429:527	608:615	622:631	624:627
Bucket 159 [0.6171875->0.62109375]	233:266	346:370	582:1509	611:635	773:832
Bucket 160 [0.62109375->0.625]	331:335	607:611	607:622	611:612	618:624
Bucket 161 [0.625->0.62890625]	230:244	621:701	624:631	696:757	1284:1557
Bucket 162 [0.62890625->0.6328125]	607:637	1294:1557	1397:1431	1402:1427	1402:1428
Bucket 163 [0.6328125->0.63671875]	608:622	622:624	622:627	1225:1248	1225:1251
Bucket 164 [0.63671875->0.640625]	211:230	211:244	218:225	582:1320	616:635
Bucket 165 [0.640625->0.64453125]	218:227	582:1240	613:635	618:635	636:735
Bucket 166 [0.64453125->0.6484375]	281:291	376:536	618:622	619:627	656:735
Bucket 167 [0.6484375->0.65234375]	383:420	607:626	615:625	618:627	636:740
Bucket 168 [0.65234375->0.65625]	527:540	593:669	595:1294	646:765	656:740
Bucket 169 [0.65625->0.66015625]	225:227	423:536	572:669	593:594	596:741
Bucket 170 [0.66015625->0.6640625]	536:540	595:1431	595:1666	646:740	671:740
Bucket 171 [0.6640625->0.66796875]	568:572	568:593	572:594	608:631	622:635
Bucket 172 [0.66796875->0.671875]	343:352	343:357	562:764	704:983	1088:1399
Bucket 173 [0.671875->0.67578125]	798:822	798:823	1214:1248	1214:1251	1319:1339
Bucket 174 [0.67578125->0.6796875]	343:353	562:716	1284:1434	1294:1345	1294:1434
Bucket 175 [0.6796875->0.68359375]	342:359	342:361	342:362	568:669	1284:1294
Bucket 176 [0.68359375->0.6875]	342:377	429:536	594:669	619:631	1046:1047
Bucket 177 [0.6875->0.69140625]	318:331	568:594	781:832	786:832	1019:1046
Bucket 178 [0.69140625->0.6953125]	528:539	598:613	618:631	1046:1071	1225:1346
Bucket 179 [0.6953125->0.69921875]	590:1523	591:1523	896:981	1225:1265	1225:1269
Bucket 180 [0.69921875->0.703125]	525:539	565:566	780:832	1041:1046	1046:1061
Bucket 181 [0.703125->0.70703125]	359:384	361:384	362:384	433:540	540:544
Bucket 182 [0.70703125->0.7109375]	318:335	680:764	695:764	697:764	773:786
Bucket 183 [0.7109375->0.71484375]	328:363	608:625	680:716	695:716	697:716
Bucket 184 [0.71484375->0.71875]	527:544	590:1377	591:1377	774:780	896:991
Bucket 185 [0.71875->0.72265625]	625:631	676:780	677:780	896:899	896:902
Bucket 186 [0.72265625->0.7265625]	747:780	776:780	896:917	896:920	896:921
Bucket 187 [0.7265625->0.73046875]	352:353	598:622	711:780	742:780	743:780
Bucket 188 [0.73046875->0.734375]	353:357	528:542	562:680	595:1345	748:780
Bucket 189 [0.734375->0.73828125]	562:695	562:697	773:835	846:896	848:896
Bucket 190 [0.73828125->0.7421875]	423:542	581:760	676:786	677:786	743:786
Bucket 191 [0.7421875->0.74609375]	676:781	677:781	711:781	711:786	742:786
Bucket 192 [0.74609375->0.75]	595:1284	742:781	747:781	748:781	748:786
Bucket 193 [0.75->0.75390625]	838:1021	893:896	894:896	895:896	965:981
Bucket 194 [0.75390625->0.7578125]	595:1310	966:981	967:981	968:981	970:981
Bucket 195 [0.7578125->0.76171875]	342:384	598:624	893:981	894:981	895:981
Bucket 196 [0.76171875->0.765625]	785:819	838:981	858:896	861:896	868:896
Bucket 197 [0.765625->0.76953125]	425:535	596:1333	838:899	838:902	838:903
Bucket 198 [0.76953125->0.7734375]	423:528	598:635	838:840	838:844	838:845
Bucket 199 [0.7734375->0.77734375]	533:544	596:1295	838:847	899:1040	903:1040
Bucket 200 [0.77734375->0.78125]	359:377	361:377	362:377	433:533	832:839
Bucket 201 [0.78125->0.78515625]	773:790	774:835	774:839	838:901	840:1040
Bucket 202 [0.78515625->0.7890625]	665:1333	743:835	838:1043	840:965	840:966
Bucket 203 [0.7890625->0.79296875]	423:539	711:835	743:839	772:835	790:835
Bucket 204 [0.79296875->0.796875]	582:745	676:835	677:835	711:839	772:839
Bucket 205 [0.796875->0.80078125]	375:416	624:635	665:1295	711:927	711:930
Bucket 206 [0.80078125->0.8046875]	310:316	310:317	375:545	572:593	676:839
Bucket 207 [0.8046875->0.80859375]	423:525	676:927	676:930	677:927	677:930
Bucket 208 [0.80859375->0.8125]	747:927	748:839	771:839	774:790	776:930
Bucket 209 [0.8125->0.81640625]	525:542	742:927	742:930	747:930	748:927
Bucket 210 [0.81640625->0.8203125]	627:631	838:846	838:991	842:893	842:894
Bucket 211 [0.8203125->0.82421875]	375:424	421:535	842:895	842:1040	843:929
Bucket 212 [0.82421875->0.828125]	842:942	842:943	842:944	842:948	842:950
Bucket 213 [0.828125->0.83203125]	676:790	677:790	776:790	780:927	780:930
Bucket 214 [0.83203125->0.8359375]	416:545	711:790	743:773	743:790	747:790
Bucket 215 [0.8359375->0.83984375]	409:530	676:773	677:773	711:773	742:790
Bucket 216 [0.83984375->0.84375]	416:424	772:773	773:776	838:848	842:885
Bucket 217 [0.84375->0.84765625]	655:698	742:773	747:773	781:927	781:930
Bucket 218 [0.84765625->0.8515625]	530:567	533:540	539:542	645:647	650:698
Bucket 219 [0.8515625->0.85546875]	440:530	441:530	443:530	444:530	445:530
Bucket 220 [0.85546875->0.859375]	439:530	449:530	457:530	470:530	471:530
Bucket 221 [0.859375->0.86328125]	451:530	456:530	463:530	467:530	473:530
Bucket 222 [0.86328125->0.8671875]	648:659	650:659	749:753	781:790	781:839
Bucket 223 [0.8671875->0.87109375]	524:530	649:659	654:659	655:661	780:839
Bucket 224 [0.87109375->0.875]	648:661	650:661	659:662	659:663	848:942
Bucket 225 [0.875->0.87890625]	649:661	654:661	655:657	655:660	659:698
Bucket 226 [0.87890625->0.8828125]	297:304	421:425	650:657	650:660	657:659
Bucket 227 [0.8828125->0.88671875]	525:528	657:698	660:698	667:804	840:848
Bucket 228 [0.88671875->0.890625]	295:304	301:304	377:384	648:657	648:660
Bucket 229 [0.890625->0.89453125]	424:545	649:657	649:660	650:654	654:655
Bucket 230 [0.89453125->0.8984375]	648:654	667:792	667:800	667:805	667:809
Bucket 231 [0.8984375->0.90234375]	649:654	654:663	667:784	667:789	667:791
Bucket 232 [0.90234375->0.90625]	659:661	747:774	774:776	838:966	838:967
Bucket 233 [0.90625->0.91015625]	655:662	657:661	660:661	742:774	842:981
Bucket 234 [0.91015625->0.9140625]	650:662	748:774	771:774	838:893	838:894
Bucket 235 [0.9140625->0.91796875]	648:662	838:968	838:969	842:901	846:902
Bucket 236 [0.91796875->0.921875]	649:662	840:846	841:846	846:851	849:901
Bucket 237 [0.921875->0.92578125]	235:239	235:240	662:663	842:848	842:1021
Bucket 238 [0.92578125->0.9296875]	846:853	846:854	849:899	849:902	849:903
Bucket 239 [0.9296875->0.93359375]	843:846	843:981	844:846	845:846	846:847
Bucket 240 [0.93359375->0.9375]	648:650	648:655	649:655	839:927	840:849
Bucket 241 [0.9375->0.94140625]	649:650	655:663	839:930	840:981	842:843
Bucket 242 [0.94140625->0.9453125]	650:663	656:707	835:839	840:842	840:901
Bucket 243 [0.9453125->0.94921875]	656:712	841:901	842:847	842:917	842:921
Bucket 244 [0.94921875->0.953125]	636:707	636:712	646:656	675:707	842:853
Bucket 245 [0.953125->0.95703125]	636:646	636:675	675:712	714:721	715:721
Bucket 246 [0.95703125->0.9609375]	409:524	531:537	570:668	573:668	646:675
Bucket 247 [0.9609375->0.96484375]	649:663	676:711	676:772	677:711	714:718
Bucket 248 [0.96484375->0.96875]	129:137	596:665	646:707	656:673	677:776
Bucket 249 [0.96875->0.97265625]	409:457	524:567	636:673	646:712	656:671
Bucket 250 [0.97265625->0.9765625]	129:136	385:406	409:439	409:449	409:451
Bucket 251 [0.9765625->0.98046875]	386:391	409:475	409:483	457:524	477:524
Bucket 252 [0.98046875->0.984375]	123:124	136:137	295:301	386:390	387:398
Bucket 253 [0.984375->0.98828125]	297:301	390:391	409:440	409:443	409:445
Bucket 254 [0.98828125->0.9921875]	149:152	248:249	249:250	295:297	439:440
Bucket 255 [0.9921875->0.99609375]	92:93	316:317	359:361	361:362	393:395
Bucket 256 [0.99609375->1.0]	90:91	239:240	248:250	352:357	359:362
Bucket 256 [1.]	630:632	921:923	934:935	1165:1166	1209:1210
